epoch 1, update 102,featrues 291, train_err 3.90%, dev_err 9.36%, dev_avg 6.14%
epoch 2, update 91,featrues 334, train_err 3.33%, dev_err 8.19%, dev_avg 4.97%
epoch 3, update 78,featrues 347, train_err 2.92%, dev_err 5.85%, dev_avg 4.97%
epoch 4, update 81,featrues 368, train_err 3.11%, dev_err 6.73%, dev_avg 5.85%
epoch 5, update 78,featrues 378, train_err 2.70%, dev_err 6.14%, dev_avg 5.56%
epoch 6, update 63,featrues 385, train_err 2.26%, dev_err 6.14%, dev_avg 5.56%
epoch 7, update 69,featrues 385, train_err 2.43%, dev_err 7.02%, dev_avg 5.56%
epoch 8, update 60,featrues 388, train_err 2.15%, dev_err 6.73%, dev_avg 5.56%
epoch 9, update 59,featrues 390, train_err 2.04%, dev_err 6.14%, dev_avg 5.56%
epoch 10, update 64,featrues 394, train_err 2.15%, dev_err 5.85%, dev_avg 5.26%
epoch 11, update 56,featrues 395, train_err 1.80%, dev_err 5.56%, dev_avg 4.97%
epoch 12, update 60,featrues 398, train_err 2.10%, dev_err 4.97%, dev_avg 4.97%
epoch 13, update 61,featrues 400, train_err 2.07%, dev_err 5.85%, dev_avg 4.97%
epoch 14, update 53,featrues 401, train_err 1.91%, dev_err 5.56%, dev_avg 4.97%
epoch 15, update 53,featrues 402, train_err 1.91%, dev_err 5.26%, dev_avg 5.26%
epoch 16, update 56,featrues 405, train_err 1.88%, dev_err 5.26%, dev_avg 5.26%
epoch 17, update 57,featrues 406, train_err 1.94%, dev_err 6.14%, dev_avg 5.26%
epoch 18, update 53,featrues 406, train_err 1.91%, dev_err 6.43%, dev_avg 5.26%
epoch 19, update 57,featrues 408, train_err 1.99%, dev_err 6.43%, dev_avg 5.26%
epoch 20, update 52,featrues 408, train_err 1.77%, dev_err 5.56%, dev_avg 5.26%
epoch 21, update 55,featrues 411, train_err 1.88%, dev_err 5.85%, dev_avg 5.26%
epoch 22, update 54,featrues 413, train_err 1.91%, dev_err 6.73%, dev_avg 5.26%
epoch 23, update 53,featrues 416, train_err 1.85%, dev_err 5.56%, dev_avg 5.26%
epoch 24, update 56,featrues 416, train_err 1.85%, dev_err 5.85%, dev_avg 5.26%
epoch 25, update 54,featrues 417, train_err 1.85%, dev_err 6.14%, dev_avg 5.26%
epoch 26, update 55,featrues 417, train_err 1.83%, dev_err 6.14%, dev_avg 5.26%
epoch 27, update 54,featrues 417, train_err 1.85%, dev_err 5.85%, dev_avg 5.26%
epoch 28, update 53,featrues 418, train_err 1.83%, dev_err 5.56%, dev_avg 4.97%
epoch 29, update 57,featrues 418, train_err 1.96%, dev_err 6.43%, dev_avg 4.97%
epoch 30, update 51,featrues 418, train_err 1.74%, dev_err 5.56%, dev_avg 4.97%
epoch 31, update 55,featrues 418, train_err 1.91%, dev_err 5.26%, dev_avg 4.97%
epoch 32, update 52,featrues 418, train_err 1.77%, dev_err 4.97%, dev_avg 4.97%
epoch 33, update 52,featrues 419, train_err 1.80%, dev_err 6.14%, dev_avg 4.97%
epoch 34, update 54,featrues 419, train_err 1.85%, dev_err 5.56%, dev_avg 4.97%
epoch 35, update 50,featrues 419, train_err 1.74%, dev_err 6.43%, dev_avg 4.97%
epoch 36, update 51,featrues 420, train_err 1.77%, dev_err 6.73%, dev_avg 4.97%
epoch 37, update 53,featrues 420, train_err 1.80%, dev_err 6.14%, dev_avg 4.97%
epoch 38, update 54,featrues 421, train_err 1.80%, dev_err 6.43%, dev_avg 4.97%
epoch 39, update 46,featrues 422, train_err 1.58%, dev_err 6.73%, dev_avg 4.97%
epoch 40, update 52,featrues 422, train_err 1.77%, dev_err 6.14%, dev_avg 4.97%
epoch 41, update 50,featrues 422, train_err 1.69%, dev_err 5.26%, dev_avg 4.97%
epoch 42, update 50,featrues 422, train_err 1.64%, dev_err 6.14%, dev_avg 4.97%
epoch 43, update 49,featrues 422, train_err 1.69%, dev_err 5.56%, dev_avg 4.97%
epoch 44, update 43,featrues 422, train_err 1.47%, dev_err 5.85%, dev_avg 4.97%
epoch 45, update 55,featrues 422, train_err 1.74%, dev_err 5.56%, dev_avg 4.97%
epoch 46, update 44,featrues 422, train_err 1.47%, dev_err 5.56%, dev_avg 4.97%
epoch 47, update 46,featrues 422, train_err 1.55%, dev_err 5.56%, dev_avg 4.97%
epoch 48, update 51,featrues 422, train_err 1.61%, dev_err 5.56%, dev_avg 4.97%
epoch 49, update 51,featrues 422, train_err 1.74%, dev_err 5.56%, dev_avg 4.97%
epoch 50, update 55,featrues 422, train_err 1.88%, dev_err 5.26%, dev_avg 4.97%
